altitude[m],wind_speed[m/s],direction[deg]
-100000000.0,0,241.7261998
0.0,0,241.7261998
500,0,273.1478393
1000,0,274.8889259
1500,5.965905044,275.191608
2000,7.410800273,273.9411212
2500,8.866502818,272.0970216
3000,10.33438098,270.7311195
3500,11.75061469,269.2593799
4000,13.16934958,268.1246851
4500,14.56076699,267.3493735
5000,15.94924723,266.7360691
5500,17.36445189,266.2466675
6000,18.87766834,265.8469524
6500,20.41593584,265.5182466
7000,21.96670491,265.1775985
7500,23.5969801,264.7555792
8000,25.3454825,264.4094137
8500,27.09443683,264.1116355
9000,28.71506895,263.8086364
9500,30.16721584,263.5431879
10000,31.6248665,263.3535566
10500,32.72818807,263.257794
11000,33.4845609,263.3131777
11500,34.1015102,263.4391694
12000,34.38805928,263.6225229
12500,33.90803219,263.9497294
13000,33.13074753,264.2529558
13500,32.16716001,264.549779
14000,30.90731895,264.7143072
14500,29.26265996,264.5583969
15000,27.52786666,264.2878973
15500,25.79377005,263.9810185
16000,24.06052003,263.629915
23000,0.0,263.629915
10000000000,0.0,263.629915